Time_days,PBAT_pct,PLA_pct,Recyclable Materials,Additive Type,Color,Thickness_um,Roughness,Area_mm2,UV,Precipitation_mm,Temperature_C,Humidity,Soil_TN_mgkg,Soil_OC_gkg,Soil_pH,Fertilizer,Target_WVTR
30,100,0,NA,NA,2,NA,1,3320,160007.3408,2.121224068,26.597,90,143,4.1,8.3,1,746.929
45,100,0,NA,NA,2,NA,1,3320,214081.914,11.30947843,29.398,90,143,4.1,8.3,1,888.452
60,100,0,NA,NA,2,NA,1,3320,261610.7427,13.45226681,28.808,90,143,4.1,8.3,1,998.526
75,100,0,NA,NA,2,NA,1,3320,343836.955,14.99975938,28.956,90,143,4.1,8.3,1,1297.297
NA,100,0,NA,2,NA,NA,2,7850,NA,NA,23,90,NA,NA,NA,NA,951.567
NA,99.5,0,NA,2,NA,NA,3,7850,NA,NA,23,90,NA,NA,NA,NA,649.573
NA,99,0,NA,2,NA,NA,3,7850,NA,NA,23,90,NA,NA,NA,NA,595.442
NA,98.5,0,NA,2,NA,NA,3,7850,NA,NA,23,90,NA,NA,NA,NA,783.476
NA,98,0,NA,2,NA,NA,3,7850,NA,NA,23,90,NA,NA,NA,NA,794.872
NA,100,0,NA,NA,2,NA,2,3848,NA,NA,38,90,NA,NA,NA,NA,159.73
NA,90,0,NA,1,1,NA,3,3848,NA,NA,38,90,NA,NA,NA,NA,122.5
NA,90,0,NA,1,3,NA,3,3848,NA,NA,38,90,NA,NA,NA,NA,94.63
NA,80,0,NA,0,3,NA,3,3848,NA,NA,38,90,NA,NA,NA,NA,84.77
NA,70,0,NA,1,3,NA,3,3848,NA,NA,38,90,NA,NA,NA,NA,78.62
NA,0,100,NA,NA,3,200,2,8100,NA,NA,38,90,NA,NA,NA,NA,47.27
NA,0,80,NA,1,3,200,3,8100,NA,NA,38,90,NA,NA,NA,NA,43.99
NA,0,80,NA,1,3,80,3,8100,NA,NA,38,90,NA,NA,NA,NA,40.25
NA,0,80,NA,1,3,60,3,8100,NA,NA,38,90,NA,NA,NA,NA,39.31
NA,0,80,NA,1,3,38,3,8100,NA,NA,38,90,NA,NA,NA,NA,38.84
NA,100,0,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.38
NA,95,0,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.67
NA,90,0,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.03
NA,85,0,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.91
NA,80,0,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.65
NA,75,0,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.93
NA,100,0,NA,1,NA,NA,2,NA,NA,NA,23,50,NA,NA,NA,NA,250.44
NA,90,0,NA,1,NA,NA,3,NA,NA,NA,23,50,NA,NA,NA,NA,190.32
NA,80,0,NA,1,NA,NA,3,NA,NA,NA,23,50,NA,NA,NA,NA,175.33
NA,70,0,NA,1,NA,NA,3,NA,NA,NA,23,50,NA,NA,NA,NA,159.21
NA,0,0,NA,1,NA,NA,2,NA,NA,NA,23,50,NA,NA,NA,NA,107.89
NA,70,0,NA,1,NA,NA,3,NA,NA,NA,23,50,NA,NA,NA,NA,159.21
NA,65,0,NA,1,NA,NA,3,NA,NA,NA,23,50,NA,NA,NA,NA,152.22
NA,60,0,NA,1,NA,NA,3,NA,NA,NA,23,50,NA,NA,NA,NA,148.47
NA,50,0,NA,1,NA,NA,3,NA,NA,NA,23,50,NA,NA,NA,NA,147.89
NA,40,0,NA,1,NA,NA,3,NA,NA,NA,23,50,NA,NA,NA,NA,140.69
NA,40,0,40,0,2,50,NA,1256,NA,NA,38,90,NA,NA,NA,NA,181.28
NA,40,0,40,0,2,50,NA,1256,NA,NA,38,90,NA,NA,NA,NA,157.95
NA,40,0,40,0,2,50,NA,1256,NA,NA,38,90,NA,NA,NA,NA,154.21
NA,40,0,40,0,2,50,NA,1256,NA,NA,38,90,NA,NA,NA,NA,160.29
NA,40,0,40,0,2,50,NA,1256,NA,NA,38,90,NA,NA,NA,NA,186.67
NA,42,0,42,0,2,50,3,1256,NA,NA,38,90,NA,NA,NA,NA,68.94
NA,41.5,0,41.5,0,2,50,2,1256,NA,NA,38,90,NA,NA,NA,NA,143.25
NA,41,0,41,0,2,50,3,1256,NA,NA,38,90,NA,NA,NA,NA,155.89
NA,40.5,0,40.5,0,2,50,3,1256,NA,NA,38,90,NA,NA,NA,NA,167.59
NA,40,0,40,0,2,50,3,1256,NA,NA,38,90,NA,NA,NA,NA,175.87
NA,40,0,40,0,2,50,3,1256,NA,NA,38,90,NA,NA,NA,NA,168.87
NA,40,0,40,0,2,50,2,1256,NA,NA,38,90,NA,NA,NA,NA,172.04
NA,40,0,40,0,2,50,3,1256,NA,NA,38,90,NA,NA,NA,NA,172.18
NA,40,0,40,0,2,50,3,1256,NA,NA,38,90,NA,NA,NA,NA,174.01
15,90,0,10,NA,NA,33.7,2,7850,58522.38052,220.8019034,37.8,100,386,11.2,7.8,1,587.1
30,80,0,20,NA,NA,29.7,3,7850,119527.969,235.3066327,37.8,100,386,11.2,7.8,1,853.8
60,70,0,30,NA,NA,23.7,3,7850,221800.4527,253.0857814,37.8,100,386,11.2,7.8,1,1032.9
NA,30,70,NA,4,NA,NA,NA,NA,NA,NA,38,90,NA,NA,NA,NA,1191
NA,30,70,NA,4,NA,NA,NA,NA,NA,NA,38,90,NA,NA,NA,NA,849
NA,30,70,NA,4,NA,NA,NA,NA,NA,NA,38,90,NA,NA,NA,NA,1225
