Time_days,PBAT_pct,PLA_pct,Recyclable Materials,Additive Type,Color,Thickness_um,Roughness,Area_mm2,UV,Precipitation_mm,Temperature_C,Air_Humidity_pct,Soil_TN_mgkg,Soil_OC_gkg,Soil_pH,Fertilizer,Target_TS_MPa
15,30,70,NA,NA,NA,2000,2,300,NA,5.387619138,24.19443843,67.72348124,NA,0.6,8,NA,49.7
30,30,70,NA,0,NA,2000,2,300,NA,19.90549942,23.33606063,60.41273684,NA,0.6,8,NA,47.9
45,30,70,NA,0,NA,2000,3,300,NA,84.31707276,20.44529278,63.86950865,NA,0.6,8,NA,44.1
60,30,70,NA,0,NA,2000,3,300,NA,85.54523857,19.24211356,62.32219827,NA,0.6,8,NA,48.9
15,30,70,NA,0,NA,2000,3,300,NA,5.387619138,24.19443843,67.72348124,NA,0.6,8,NA,44.1
30,30,70,NA,0,NA,2000,3,300,NA,19.90549942,23.33606063,60.41273684,NA,0.6,8,NA,43.4
45,30,70,NA,0,NA,2000,3,300,NA,84.31707276,20.44529278,63.86950865,NA,0.6,8,NA,42.7
60,30,70,NA,0,NA,2000,3,300,NA,85.54523857,19.24211356,62.32219827,NA,0.6,8,NA,42.9
15,NA,100,NA,0,NA,NA,2,1000,NA,70.64790861,23,50,NA,1.12,7.8,NA,32.6
30,NA,98,NA,0,NA,NA,2,1000,NA,117.4193234,23,50,NA,1.12,7.8,NA,18.3
45,NA,96,NA,0,NA,NA,2,1000,NA,161.7194216,23,50,NA,1.12,7.8,NA,17.6
60,NA,95,NA,0,NA,NA,3,1000,NA,177.9397153,23,50,NA,1.12,7.8,NA,17.5
60,NA,94,NA,0,NA,NA,3,1000,NA,177.9397153,23,50,NA,1.12,7.8,NA,16.6
60,NA,92,NA,0,NA,NA,3,1000,NA,177.9397153,23,50,NA,1.12,7.8,NA,16.3
60,NA,90,NA,0,NA,NA,3,1000,NA,177.9397153,23,50,NA,1.12,7.8,NA,16.1
60,NA,85,NA,0,NA,NA,3,1000,NA,177.9397153,23,50,NA,1.12,7.8,NA,14.2
60,NA,80,NA,0,NA,NA,3,1000,NA,177.9397153,23,50,NA,1.12,7.8,NA,12.3
15,NA,100,NA,0,NA,NA,NA,1000,NA,70.64790861,23,50,NA,1.12,7.8,NA,32.6
30,NA,90,NA,0,NA,NA,NA,1000,NA,117.4193234,23,50,NA,1.12,7.8,NA,16.7
45,NA,70,NA,0,NA,NA,NA,1000,NA,161.7194216,23,50,NA,1.12,7.8,NA,15.2
60,NA,50,NA,0,NA,NA,NA,1000,NA,177.9397153,23,50,NA,1.12,7.8,NA,15.1
60,NA,90,NA,0,NA,NA,NA,1000,NA,177.9397153,23,50,NA,1.12,7.8,NA,15.6
60,NA,70,NA,0,NA,NA,NA,1000,NA,177.9397153,23,50,NA,1.12,7.8,NA,14.1
60,NA,50,NA,0,NA,NA,NA,1000,NA,177.9397153,23,50,NA,1.12,7.8,NA,13.6
15,NA,99,NA,0,NA,NA,NA,1000,NA,70.64790861,23,50,NA,1.12,7.8,NA,21.3
30,NA,98.5,NA,0,NA,NA,NA,1000,NA,117.4193234,23,50,NA,1.12,7.8,NA,20.7
45,NA,98,NA,0,NA,NA,NA,1000,NA,161.7194216,23,50,NA,1.12,7.8,NA,18.3
60,NA,99.9,NA,0,NA,NA,NA,1000,NA,177.9397153,23,50,NA,1.12,7.8,NA,27.6
60,NA,99.5,NA,0,NA,NA,NA,1000,NA,177.9397153,23,50,NA,1.12,7.8,NA,25.3
60,NA,99,NA,0,NA,NA,NA,1000,NA,177.9397153,23,50,NA,1.12,7.8,NA,22.1
35,NA,100,NA,NA,NA,NA,2,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,32.6
35,NA,90,10,NA,NA,NA,3,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,13.6
35,NA,80,20,NA,NA,NA,2,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,13.3
35,NA,70,30,NA,NA,NA,2,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,12.3
35,NA,60,40,NA,NA,NA,2,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,11.8
35,NA,50,50,NA,NA,NA,3,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,10.2
35,NA,90,NA,3,NA,NA,3,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,14.3
35,NA,80,NA,3,NA,NA,3,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,13.8
35,NA,70,NA,3,NA,NA,3,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,14.1
35,NA,60,NA,3,NA,NA,3,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,13.2
35,NA,50,NA,3,NA,NA,3,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,11.2
35,NA,100,NA,1,NA,NA,3,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,20.4
35,NA,100,NA,1,NA,NA,3,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,20.1
35,NA,100,NA,1,NA,NA,3,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,19.1
35,NA,100,NA,1,NA,NA,3,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,18.7
35,NA,100,NA,1,NA,NA,3,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,18.6
35,NA,70,30,1,NA,NA,3,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,16.3
35,NA,70,30,1,NA,NA,3,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,16.1
35,NA,70,30,1,NA,NA,3,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,15.7
35,NA,70,30,1,NA,NA,3,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,15.2
35,NA,70,30,1,NA,NA,3,1000,NA,129.1612558,23,50,NA,1.12,7.4,NA,14.8
15,NA,97.75,NA,0,NA,5000,NA,NA,NA,15.26554255,23,72.26854416,NA,0.63,6.5,NA,66.37
30,NA,97.5,NA,0,NA,5000,NA,NA,NA,18.11506785,23,65.77294641,NA,0.63,6.5,NA,70.52
45,NA,97.25,NA,0,NA,5000,NA,NA,NA,121.0627167,23,66.53338068,NA,0.63,6.5,NA,71.25
60,NA,95.75,NA,0,NA,5000,NA,NA,NA,123.6415722,23,65.27004019,NA,0.63,6.5,NA,68.54
60,NA,95.5,NA,0,NA,5000,NA,NA,NA,123.6415722,23,65.27004019,NA,0.63,6.5,NA,70.41
60,NA,95.25,NA,0,NA,5000,NA,NA,NA,123.6415722,23,65.27004019,NA,0.63,6.5,NA,70.62
60,NA,93.75,NA,0,NA,5000,NA,NA,NA,123.6415722,23,65.27004019,NA,0.63,6.5,NA,67.68
60,NA,93.5,NA,0,NA,5000,NA,NA,NA,123.6415722,23,65.27004019,NA,0.63,6.5,NA,68.15
60,NA,93.25,NA,0,NA,5000,NA,NA,NA,123.6415722,23,65.27004019,NA,0.63,6.5,NA,68.24
15,NA,100,NA,NA,NA,5000,NA,NA,NA,15.26554255,23,72.26854416,NA,0.63,6.5,NA,55.05
30,NA,90,10,NA,NA,5000,NA,NA,NA,18.11506785,23,65.77294641,NA,0.63,6.5,NA,63.47
45,NA,80,20,NA,NA,5000,NA,NA,NA,121.0627167,23,66.53338068,NA,0.63,6.5,NA,65.13
60,NA,70,30,NA,NA,5000,NA,NA,NA,123.6415722,23,65.27004019,NA,0.63,6.5,NA,66.03
60,NA,60,40,NA,NA,5000,NA,NA,NA,123.6415722,23,65.27004019,NA,0.63,6.5,NA,55.8
15,NA,100,NA,0,3,5000,NA,NA,NA,15.26554255,23,72.26854416,NA,0.63,6.5,NA,66.03
