name,longitude,latitude,Soil_pH,soil_clay_pct,soil_silt_pct,soil_sand_pct,Soil_OC_gkg,Soil_TN_mgkg,soil_bulk_density,soil_coarse_frag_pct
紫阳县,108.43481275592096,32.44837522469283,6.4,24.0,45.2,30.9,42.4,460.0,122.0,152.0
岚皋县,108.87317443352303,32.24386428363257,6.2,23.6,46.5,29.9,51.8,478.0,118.0,162.0
利通区,106.25483446619458,37.78169923655663,8.2,24.1,43.1,32.8,10.2,152.0,141.0,100.0
米东区,87.73185269292506,44.4818895876725,8.7,19.1,23.0,57.9,15.4,281.0,139.0,113.0
达坂城区,88.28634472491058,43.52581560332502,7.8,21.5,40.0,38.6,28.5,302.0,130.0,199.0
红寺堡区,106.2139323627236,37.38153246753057,8.4,12.7,25.9,61.4,8.6,146.0,130.0,151.0
头屯河区,87.36845992593841,43.9222187006382,8.0,30.8,37.9,31.4,22.4,222.0,131.0,127.0
水磨沟区,87.77262591123333,43.82637773172367,7.8,25.6,40.9,33.5,42.2,338.0,127.0,214.0
卧龙区,112.46086889197676,33.02959182769688,7.0,29.6,45.0,25.4,22.3,173.0,130.0,97.0
新市区,87.51422561271139,43.95112238822547,8.1,34.4,39.9,25.8,21.0,196.0,132.0,93.0
沙依巴克区,87.4725230332659,43.719411563827606,7.9,24.1,40.9,35.0,23.9,190.0,138.0,130.0
天山区,87.62705833751191,43.711510779075184,8.0,22.0,41.1,36.9,25.7,178.0,134.0,164.0
渝北区,106.74246189774163,29.812116224702656,6.2,30.4,36.9,32.7,37.2,344.0,129.0,151.0
大足区,105.73903049765283,29.652736662738445,6.6,29.1,42.8,28.2,30.7,296.0,129.0,144.0
宛城区,112.6262252817455,32.905632340138524,7.1,23.4,41.6,35.0,23.0,188.0,132.0,67.0
綦江区,106.71849994734782,28.882532375530623,5.9,26.1,38.2,35.7,41.5,380.0,123.0,171.0
和田市,79.95080785325023,37.14969435557824,8.0,15.6,46.4,38.1,10.6,235.0,139.0,178.0
龙港市,120.57136984357346,27.535589306060988,6.3,37.2,57.3,5.5,36.4,554.0,117.0,89.0
深州市,115.57570879786223,37.95082925531739,7.9,20.1,43.4,36.5,8.5,189.0,137.0,124.0
阳新县,115.12803040543524,29.825350210572573,6.1,24.8,50.0,25.2,26.2,217.0,124.0,168.0
常熟市,120.81910053549,31.66229530714474,7.1,36.7,57.4,5.9,23.2,407.0,121.0,71.0
木里藏族自治县,100.94626726252724,28.35724383918484,5.6,16.4,39.7,43.9,85.6,654.0,103.0,289.0
秦淮区,118.81192933962912,32.015022101589025,6.7,33.8,48.5,17.7,18.5,271.0,132.0,80.0
会东县,102.73194790927283,26.56988959038182,6.2,27.1,48.6,24.3,48.6,426.0,121.0,229.0
建邺区,118.70438536961126,32.01172673351081,6.8,37.5,46.7,15.8,25.0,334.0,128.0,96.0
玄武区,118.83771341296244,32.06835931500451,6.4,32.9,46.8,20.3,24.7,308.0,132.0,115.0
德昌县,102.18398057741022,27.327167831034085,6.0,28.3,46.0,25.8,41.5,341.0,127.0,170.0
盐源县,101.45918244594765,27.60024789545175,6.3,24.8,40.4,34.7,40.4,368.0,123.0,195.0
太仓市,121.14836636120098,31.56712830443301,7.4,25.2,55.0,19.8,27.3,381.0,119.0,85.0
布拖县,102.87355495956449,27.598832239269598,5.9,26.8,45.2,28.0,49.5,640.0,117.0,218.0
张家港市,120.6213477340081,31.90351989323525,7.2,28.4,51.3,20.3,21.4,384.0,120.0,75.0
普格县,102.56118408397865,27.54412640748348,6.0,31.0,45.1,24.0,49.2,626.0,123.0,253.0
昆山市,120.95469504596802,31.32342797185412,7.0,29.6,56.8,13.7,29.9,400.0,116.0,77.0
宁南县,102.7073800853154,27.088242986151023,6.4,33.1,40.7,26.2,46.6,467.0,130.0,194.0
海拉尔区,120.00133515102574,49.25519088187431,7.4,20.3,48.4,31.4,41.6,612.0,119.0,170.0
鲁山县,112.72774858590766,33.74377561703471,7.2,23.2,45.7,31.2,31.5,153.0,125.0,146.0
瑞安市,120.45717721177448,27.82736684001929,5.8,29.2,47.0,23.9,36.2,329.0,114.0,126.0
老边区,122.35669340085715,40.64391759895583,7.5,27.3,40.3,32.5,29.4,207.0,134.0,100.0
郏县,113.22048088864727,34.00100012778672,7.4,26.7,54.0,19.3,19.7,132.0,131.0,87.0
乐清市,121.00570447071205,28.251494085211743,5.8,34.5,48.4,17.1,43.6,334.0,114.0,131.0
叶县,113.33839486540153,33.546366750357606,7.4,25.1,48.2,26.7,16.5,141.0,131.0,86.0
鼓楼区,118.75561180453784,32.08426422393344,6.8,37.7,43.3,19.0,27.6,321.0,127.0,84.0
宝丰县,113.02332955713062,33.91086981495842,7.3,27.4,50.9,21.8,15.7,135.0,132.0,72.0
兴山区,130.31353583467975,47.38526741532672,6.3,29.7,39.4,31.0,66.0,743.0,104.0,137.0
澳门特别行政区,113.55891275187736,22.159445031684005,5.7,32.1,37.9,30.0,44.8,319.0,107.0,85.0
东山区,130.1058091699416,47.63091819179456,6.1,27.5,40.8,31.8,81.8,1040.0,101.0,126.0
兴安区,130.25805391821274,47.21726013380797,6.5,28.7,41.5,29.9,59.4,547.0,106.0,138.0
南山区,130.2808032735187,47.28170575161831,6.5,28.9,41.3,29.9,60.2,657.0,104.0,152.0
工农区,130.2581362602544,47.315674827824,6.4,28.7,41.4,30.0,64.8,807.0,104.0,137.0
向阳区,130.28762686828955,47.34110111938626,6.4,29.0,41.8,29.2,66.3,843.0,105.0,144.0
金乡县,116.30333289845288,35.04489216606419,7.9,17.2,56.5,26.3,7.3,98.0,135.0,65.0
中山市,113.38590228936395,22.521042684544213,5.9,27.7,38.7,33.6,26.0,401.0,106.0,80.0
嘉祥县,116.29622968941392,35.42408604779973,7.7,22.7,58.5,18.8,8.2,97.0,137.0,53.0
抚远市,134.2821573035168,47.91371315843738,6.3,28.1,44.5,27.4,60.6,779.0,110.0,81.0
